

























113/113 [==============================] - 53s 462ms/step - loss: 1.7367
























113/113 [==============================] - 50s 443ms/step - loss: 1.6654
























113/113 [==============================] - 50s 440ms/step - loss: 1.6165

























113/113 [==============================] - 50s 442ms/step - loss: 1.5827
























113/113 [==============================] - 50s 442ms/step - loss: 1.5526
























113/113 [==============================] - 50s 443ms/step - loss: 1.5273
























113/113 [==============================] - 50s 443ms/step - loss: 1.5068
























113/113 [==============================] - 50s 441ms/step - loss: 1.4848
























113/113 [==============================] - 50s 441ms/step - loss: 1.4637
























113/113 [==============================] - 50s 440ms/step - loss: 1.4446

























113/113 [==============================] - 50s 444ms/step - loss: 1.4262
























113/113 [==============================] - 50s 443ms/step - loss: 1.4096
























113/113 [==============================] - 50s 443ms/step - loss: 1.3955
























113/113 [==============================] - 50s 441ms/step - loss: 1.3781
  2/113 [..............................] - ETA: 49s - loss: 1.3613

























113/113 [==============================] - 50s 439ms/step - loss: 1.3627
























113/113 [==============================] - 50s 440ms/step - loss: 1.3490
























113/113 [==============================] - 50s 441ms/step - loss: 1.3325
  1/113 [..............................] - ETA: 1:05 - loss: 1.3186

























113/113 [==============================] - 50s 443ms/step - loss: 1.3175
  1/113 [..............................] - ETA: 2:40 - loss: 1.3116


























113/113 [==============================] - 53s 457ms/step - loss: 1.3028
  2/113 [..............................] - ETA: 1:08 - loss: 1.2911

























113/113 [==============================] - 51s 450ms/step - loss: 1.2898
  2/113 [..............................] - ETA: 1:20 - loss: 1.2873

























113/113 [==============================] - 51s 449ms/step - loss: 1.2761
























113/113 [==============================] - 50s 441ms/step - loss: 1.2612

























113/113 [==============================] - 50s 443ms/step - loss: 1.2492
2024-04-25 01:04:26.220138: W tensorflow/core/kernels/data/prefetch_autotuner.cc:52] Prefetch autotuner tried to allocate 172385024 bytes after encountering the first element of size 172385024 bytes.This already causes the autotune ram budget to be exceeded. To stay within the ram budget, either increase the ram budget or reduce element size

























113/113 [==============================] - 52s 454ms/step - loss: 1.2346
  1/113 [..............................] - ETA: 1:14 - loss: 1.2365

























113/113 [==============================] - 51s 449ms/step - loss: 1.2228
  2/113 [..............................] - ETA: 53s - loss: 1.2147

























113/113 [==============================] - 51s 445ms/step - loss: 1.2098
2024-04-25 01:07:01.668641: W tensorflow/core/kernels/data/prefetch_autotuner.cc:52] Prefetch autotuner tried to allocate 172385024 bytes after encountering the first element of size 172385024 bytes.This already causes the autotune ram budget to be exceeded. To stay within the ram budget, either increase the ram budget or reduce element size
























113/113 [==============================] - 51s 446ms/step - loss: 1.1982

























113/113 [==============================] - 50s 444ms/step - loss: 1.1848
























113/113 [==============================] - 50s 444ms/step - loss: 1.1721
  2/113 [..............................] - ETA: 52s - loss: 1.1638

























113/113 [==============================] - 51s 450ms/step - loss: 1.1612
