














































227/227 [==============================] - 99s 417ms/step - loss: 8.6404














































227/227 [==============================] - 93s 410ms/step - loss: 7.5412













































227/227 [==============================] - 93s 410ms/step - loss: 6.9546














































227/227 [==============================] - 94s 413ms/step - loss: 6.6236













































227/227 [==============================] - 92s 407ms/step - loss: 6.4113














































227/227 [==============================] - 93s 408ms/step - loss: 6.2767













































227/227 [==============================] - 93s 408ms/step - loss: 6.1813














































227/227 [==============================] - 93s 410ms/step - loss: 6.1087













































227/227 [==============================] - 93s 408ms/step - loss: 6.0513














































227/227 [==============================] - 93s 408ms/step - loss: 6.0043
